"","Gene_ID","Comparison"
"579","PGSC0003DMG400007599","Cv653"
"580","PGSC0003DMG401029918","Cv653"
"581","PGSC0003DMG400020566","Cv653"
"582","PGSC0003DMG400024490","Cv653"
"583","PGSC0003DMG400033687","Cv653"
"584","PGSC0003DMG400001550","Cv653"
"585","PGSC0003DMG400030334","Cv653"
"586","PGSC0003DMG400027010","Cv653"
"587","PGSC0003DMG400027819","Cv653"
"588","PGSC0003DMG401026002","Cv653"
"589","PGSC0003DMG400010119","Cv653"
"590","PGSC0003DMG400033090","Cv653"
"591","Novel02782","Cv653"
"592","Novel00358","Cv653"
"593","PGSC0003DMG400016721","Cv653"
"594","PGSC0003DMG400005899","Cv653"
"595","PGSC0003DMG400002388","Cv653"
"596","PGSC0003DMG402012883","Cv653"
"597","PGSC0003DMG400027889","Cv653"
"598","PGSC0003DMG400020711","Cv653"
"599","PGSC0003DMG400026220","Cv653"
"600","PGSC0003DMG401007955","Cv653"
"601","PGSC0003DMG400017287","Cv653"
"602","PGSC0003DMG400000491","Cv653"
"603","PGSC0003DMG401015682","Cv653"
"604","PGSC0003DMG402000895","Cv653"
"605","PGSC0003DMG400022512","Cv653"
"606","PGSC0003DMG400016477","Cv653"
"607","PGSC0003DMG400000075","Cv653"
"608","Novel00195","Cv653"
"609","PGSC0003DMG400016453","Cv653"
"610","Novel00113","Cv653"
"611","PGSC0003DMG401007575","Cv653"
"612","PGSC0003DMG400004036","Cv653"
"613","PGSC0003DMG401023841","Cv653"
"614","PGSC0003DMG400019279","Cv653"
"615","PGSC0003DMG400035643","Cv653"
"616","Novel00775","Cv653"
"617","PGSC0003DMG400028222","Cv653"
"618","PGSC0003DMG400017550","Cv653"
"619","PGSC0003DMG400017230","Cv653"
"620","PGSC0003DMG400023352","Cv653"
"621","PGSC0003DMG400004593","Cv653"
"622","PGSC0003DMG400018686","Cv653"
"623","PGSC0003DMG400016003","Cv653"
"624","PGSC0003DMG400006523","Cv653"
"625","PGSC0003DMG400005620","Cv653"
"626","PGSC0003DMG401009929","Cv653"
"627","PGSC0003DMG401021462","Cv653"
"628","PGSC0003DMG400029105","Cv653"
"629","PGSC0003DMG400018789","Cv653"
"630","PGSC0003DMG400014403","Cv653"
"631","PGSC0003DMG401031070","Cv653"
"632","PGSC0003DMG400015263","Cv653"
"633","PGSC0003DMG400003867","Cv653"
"634","PGSC0003DMG400024631","Cv653"
"635","PGSC0003DMG400030374","Cv653"
"636","PGSC0003DMG400015992","Cv653"
"637","Novel03362","Cv653"
"638","PGSC0003DMG400003296","Cv653"
"639","PGSC0003DMG400024784","Cv653"
"640","PGSC0003DMG400026077","Cv653"
"641","Novel02263","Cv653"
"642","PGSC0003DMG400026311","Cv653"
"643","Novel02065","Cv653"
"644","Novel01207","Cv653"
"645","PGSC0003DMG401004392","Cv653"
"646","PGSC0003DMG401002858","Cv653"
"647","PGSC0003DMG400024018","Cv653"
"648","PGSC0003DMG400028891","Cv653"
"649","PGSC0003DMG400021785","Cv653"
"650","Novel03422","Cv653"
"651","PGSC0003DMG400007119","Cv653"
"652","PGSC0003DMG400013096","Cv653"
"653","Novel02603","Cv653"
"654","PGSC0003DMG400001617","Cv653"
"655","PGSC0003DMG401022603","Cv653"
"656","PGSC0003DMG402019602","Cv653"
"657","Novel02365","Cv653"
"658","PGSC0003DMG400027868","Cv653"
"659","PGSC0003DMG400014662","Cv653"
