PGSC0003DMG400007306,GO:0071555
PGSC0003DMG400007309,GO:0006694
PGSC0003DMG400007336,GO:0009059
PGSC0003DMG400007385,GO:0006952
PGSC0003DMG400007410,GO:1901576
PGSC0003DMG400007429,GO:1901566
PGSC0003DMG400007458,GO:0032774
PGSC0003DMG400007467,GO:0008150
PGSC0003DMG400007471,GO:0050896
PGSC0003DMG400007562,GO:0019538
PGSC0003DMG400007565,GO:0008150
PGSC0003DMG400007597,GO:0006810
PGSC0003DMG400007599,GO:0043604
PGSC0003DMG400007603,GO:2001141
PGSC0003DMG400007683,GO:0055085
PGSC0003DMG400007707,GO:0006412
PGSC0003DMG400007717,GO:0009628
PGSC0003DMG400007787,GO:0006464
PGSC0003DMG400007797,GO:0009987
PGSC0003DMG400007805,GO:0071704
PGSC0003DMG400007830,GO:0009987
PGSC0003DMG400007855,GO:0044267
PGSC0003DMG400007987,GO:0008152
PGSC0003DMG400008011,GO:0016070
PGSC0003DMG400008018,GO:0006508
PGSC0003DMG400008026,GO:0006970
PGSC0003DMG400008049,GO:0065008
PGSC0003DMG400008079,GO:0019538
PGSC0003DMG400008137,GO:0008150
PGSC0003DMG400008151,GO:0008150
PGSC0003DMG400008223,GO:0044271
PGSC0003DMG400008256,GO:0006412
PGSC0003DMG400008262,GO:0044710
PGSC0003DMG400008270,GO:0015711
PGSC0003DMG400008285,GO:1901564
PGSC0003DMG400008296,GO:0032879
PGSC0003DMG400008313,GO:0044237
PGSC0003DMG400008351,GO:0006412
PGSC0003DMG400008357,GO:0044699
PGSC0003DMG400008366,GO:0044260
PGSC0003DMG400008394,GO:0006952
PGSC0003DMG400008404,GO:0010109
PGSC0003DMG400008419,GO:0071704
PGSC0003DMG400008420,GO:0008152
PGSC0003DMG400008472,GO:0008152
PGSC0003DMG400008513,GO:0043170
PGSC0003DMG400008545,GO:0031347
PGSC0003DMG400008551,GO:0044699
PGSC0003DMG400008553,GO:0007010
PGSC0003DMG400008564,GO:0044237
PGSC0003DMG400008585,GO:0008150
PGSC0003DMG400008591,GO:0046483
PGSC0003DMG400008660,GO:0051234
PGSC0003DMG400008673,GO:1901072
PGSC0003DMG400008677,GO:0080090
PGSC0003DMG400008724,GO:0008152
PGSC0003DMG400008740,GO:0008150
PGSC0003DMG400008754,GO:0009987
PGSC0003DMG400008796,GO:0043170
PGSC0003DMG400008811,GO:0009607
PGSC0003DMG400008828,GO:0043170
PGSC0003DMG400008833,GO:0045229
PGSC0003DMG400008855,GO:0010468
PGSC0003DMG400008865,GO:0006807
PGSC0003DMG400008927,GO:0022414
PGSC0003DMG400008936,GO:0050789
PGSC0003DMG400008954,GO:0008152
PGSC0003DMG400009061,GO:0008652
PGSC0003DMG400009072,GO:1901576
PGSC0003DMG400009105,GO:0006950
PGSC0003DMG400009130,GO:0008150
PGSC0003DMG400009147,GO:0010256
PGSC0003DMG400009181,GO:0071704
PGSC0003DMG400009192,GO:1902578
PGSC0003DMG400009213,GO:0008643
PGSC0003DMG400009264,GO:0006807
PGSC0003DMG400009277,GO:0055085
PGSC0003DMG400009414,GO:0044238
PGSC0003DMG400009466,GO:0006811
PGSC0003DMG400009472,GO:0009126
PGSC0003DMG400009500,GO:0017186
PGSC0003DMG400009588,GO:0071704
PGSC0003DMG400009810,GO:0055114
PGSC0003DMG400009887,GO:0006650
PGSC0003DMG400009891,GO:0008152
PGSC0003DMG400009900,GO:0043170
PGSC0003DMG400009909,GO:0043170
PGSC0003DMG400009923,GO:0071704
PGSC0003DMG400009985,GO:0036211
PGSC0003DMG400009992,GO:0055114
PGSC0003DMG400010065,GO:0044260
PGSC0003DMG400010067,GO:0010468
PGSC0003DMG400010092,GO:0008152
PGSC0003DMG400010119,GO:0006807
PGSC0003DMG400010131,GO:0010605
PGSC0003DMG400010149,GO:0051336
PGSC0003DMG400010166,GO:0009987
PGSC0003DMG400010224,GO:0071704
PGSC0003DMG400010291,GO:0044249
PGSC0003DMG400010310,GO:0008152
PGSC0003DMG400010339,GO:0051234
PGSC0003DMG400010362,GO:0050790
PGSC0003DMG400010369,GO:0051234
PGSC0003DMG400010437,GO:1901576
PGSC0003DMG400010450,GO:0006807
PGSC0003DMG400010465,GO:1990748
PGSC0003DMG400010477,GO:0006807
PGSC0003DMG400010485,GO:0006725
PGSC0003DMG400010612,GO:0050896
PGSC0003DMG400010637,GO:1901576
PGSC0003DMG400010638,GO:0032259
PGSC0003DMG400010641,GO:0044710
PGSC0003DMG400010661,GO:0071704
PGSC0003DMG400010802,GO:0072524
PGSC0003DMG400010819,GO:0032787
PGSC0003DMG400010840,GO:1901564
PGSC0003DMG400010853,GO:0000003
PGSC0003DMG400010870,GO:0042221
PGSC0003DMG400010987,GO:2000112
PGSC0003DMG400011029,GO:0008152
PGSC0003DMG400011031,GO:0008152
PGSC0003DMG400011048,GO:0044249
PGSC0003DMG400011074,GO:0008152
PGSC0003DMG400011132,GO:0008150
PGSC0003DMG400011135,GO:0022900
PGSC0003DMG400011208,GO:0008150
PGSC0003DMG400011222,GO:0008152
PGSC0003DMG400011251,GO:0006796
PGSC0003DMG400011272,GO:0044237
PGSC0003DMG400011277,GO:0010257
PGSC0003DMG400011294,GO:1901360
PGSC0003DMG400011319,GO:0034641
PGSC0003DMG400011321,GO:0006470
PGSC0003DMG400011397,GO:0050793
PGSC0003DMG400011406,GO:0045454
PGSC0003DMG400011451,GO:0072511
PGSC0003DMG400011502,GO:0008152
PGSC0003DMG400011531,GO:0044238
PGSC0003DMG400011537,GO:0044763
PGSC0003DMG400011702,GO:0008152
PGSC0003DMG400011729,GO:0031323
