gene_id,B_653_readcount,B_CON_readcount,log2FoldChange,pval,padj
Cluster-15354.76455,105.5393995,12.65458135,3.06,2.53E-05,0.0093763
Cluster-15354.87169,310.5138294,98.22609283,1.6605,2.53E-05,0.0093763
Cluster-15354.23046,36.12331761,153.5228986,-2.0875,2.54E-05,0.0093817
Cluster-15354.83481,34977.48907,11260.14015,1.6352,2.56E-05,0.0094425
Cluster-15354.85115,1993.968506,856.2243065,1.2196,2.57E-05,0.0094511
Cluster-15354.84254,7685.801377,3211.285874,1.259,2.57E-05,0.0094649
Cluster-15354.34482,0,18.85077336,#NAME?,2.60E-05,0.0095334
Cluster-41339.5,25.21181552,0,Inf,2.60E-05,0.0095334
Cluster-41034.3,25.32327467,0,Inf,2.63E-05,0.0096353
Cluster-15354.83775,11022.34113,4478.006623,1.2995,2.68E-05,0.0097975
Cluster-15354.27784,77.87678314,259.0113832,-1.7338,2.71E-05,0.0098921
Cluster-15354.123376,279.4415375,86.94257011,1.6844,2.74E-05,0.0099482
Cluster-15354.82330,1396.286851,513.8616194,1.4421,2.74E-05,0.0099535
Cluster-15354.87195,42.23753664,169.5107085,-2.0048,2.75E-05,0.0099836
Cluster-15354.64803,501.2664734,1209.295063,-1.2705,2.76E-05,0.0099927
Cluster-15354.71177,990.0851744,405.5094844,1.2878,2.81E-05,0.010152
Cluster-15354.85770,195.1696155,49.45173051,1.9806,2.82E-05,0.010152
Cluster-15354.60527,462.6269454,164.871278,1.4885,2.85E-05,0.010241
Cluster-15354.101669,144.4283976,417.5325619,-1.5315,2.90E-05,0.010408
Cluster-15354.124020,37.66655201,1.437698054,4.7115,2.90E-05,0.010408
Cluster-15354.17635,971.683683,123.4339266,2.9767,2.92E-05,0.010419
Cluster-15354.67552,208.422273,56.57568053,1.8813,2.92E-05,0.010419
Cluster-15354.69206,75.79176702,9.428863349,3.0069,2.91E-05,0.010419
Cluster-15354.122486,187.3044675,47.6137021,1.9759,2.93E-05,0.010444
Cluster-15354.84239,3063.840743,1118.856359,1.4533,2.94E-05,0.010463
Cluster-21597.0,0.995430654,30.23258437,-4.9246,2.95E-05,0.010467
Cluster-15354.89066,149.0912308,33.49712843,2.1541,2.95E-05,0.01047
Cluster-15354.7715,221.1148584,60.80555844,1.8625,2.97E-05,0.010499
Cluster-15354.50043,51.30673028,0,Inf,2.99E-05,0.010558
Cluster-15354.105106,539.1903072,200.6161341,1.4264,3.02E-05,0.010617
Cluster-15354.136040,20.04865836,113.8039489,-2.505,3.02E-05,0.010617
Cluster-15354.68666,67.39618601,5.563129155,3.5987,3.02E-05,0.010617
Cluster-15354.40646,950.0757659,391.040181,1.2807,3.03E-05,0.010641
Cluster-15354.40917,1013.873161,385.3399528,1.3957,3.04E-05,0.010662
Cluster-15354.70310,44.74027233,177.1851609,-1.9856,3.05E-05,0.010667
Cluster-15354.92670,488.454281,177.9829818,1.4565,3.06E-05,0.010674
Cluster-15354.88324,295.7328691,92.75452247,1.6728,3.08E-05,0.01073
Cluster-15354.6899,3.530603329,65.80595298,-4.2202,3.09E-05,0.010732
Cluster-15354.98748,359.4597943,887.6253069,-1.3041,3.09E-05,0.010732
Cluster-28746.1,34.01936322,0.907916656,5.2277,3.12E-05,0.0108
Cluster-15354.70947,2104.824182,913.7819595,1.2038,3.15E-05,0.01091
Cluster-15354.97121,391.1343075,115.3906536,1.7611,3.16E-05,0.01091
Cluster-15354.46322,0,18.35005554,#NAME?,3.18E-05,0.010962
Cluster-15354.93173,475.2907882,170.2536126,1.4811,3.21E-05,0.011058
Cluster-15354.7345,4.033836699,51.94007783,-3.6866,3.25E-05,0.011154
Cluster-50747.0,29.86920966,0.428683972,6.1226,3.26E-05,0.011183
Cluster-15354.54096,1251.573818,525.7193214,1.2514,3.28E-05,0.011248
Cluster-15354.105495,9.354455732,72.46449214,-2.9535,3.40E-05,0.011619
Cluster-15354.17634,144.4206059,24.08849999,2.5839,3.44E-05,0.011758
Cluster-15354.105285,52.94852877,194.2460932,-1.8752,3.48E-05,0.011821
Cluster-15354.13676,78.37511411,254.2047561,-1.6975,3.47E-05,0.011821
Cluster-15354.85451,6987.946641,709.3440179,3.3003,3.48E-05,0.011821
Cluster-20937.2,56.79425743,4.946782122,3.5212,3.48E-05,0.011821
Cluster-15354.100020,545.7155967,167.9005043,1.7005,3.54E-05,0.011976
Cluster-15354.55215,23.39802616,123.5150206,-2.4002,3.54E-05,0.011979
Cluster-15354.95978,2052.297558,899.3396128,1.1903,3.55E-05,0.011998
Cluster-39827.0,74.63354658,9.450348481,2.9814,3.59E-05,0.012101
Cluster-15354.84145,7077.804274,3058.535004,1.2105,3.60E-05,0.012127
Cluster-15354.52993,8.60761959,73.10303427,-3.0862,3.68E-05,0.012361
Cluster-15354.64620,469.9057425,169.3295204,1.4725,3.72E-05,0.012477
Cluster-15354.138583,178.1925161,17.07447607,3.3835,3.76E-05,0.01256
Cluster-15354.140242,60.54209268,5.271559533,3.5216,3.76E-05,0.01256
Cluster-15354.119016,84.117169,339.050527,-2.011,3.77E-05,0.012574
Cluster-15354.77501,243.1905313,73.66187925,1.7231,3.80E-05,0.012649
Cluster-15354.137895,0,18.01489055,#NAME?,3.82E-05,0.012674
Cluster-15354.15760,33.56934124,155.4861797,-2.2116,3.82E-05,0.012674
Cluster-15354.68326,586.7709371,224.996744,1.3829,3.84E-05,0.012717
Cluster-15354.104392,632.0218083,228.8028692,1.4659,3.87E-05,0.012737
Cluster-15354.134351,0,17.86324441,#NAME?,3.88E-05,0.012737
Cluster-15354.3746,6.630749518,63.18134025,-3.2523,3.87E-05,0.012737
Cluster-15354.49138,0,17.90683978,#NAME?,3.86E-05,0.012737
Cluster-15354.85152,4395.015342,1738.496249,1.338,3.86E-05,0.012737
Cluster-15354.85335,1328.522954,566.1964942,1.2304,3.87E-05,0.012737
Cluster-15354.63881,137.8845267,30.59743805,2.172,3.92E-05,0.012853
Cluster-15354.81643,420.6263171,149.7914696,1.4896,3.93E-05,0.012853
Cluster-15354.96408,1519.185361,655.9326411,1.2117,3.93E-05,0.012859
Cluster-15354.83366,11918.93767,4901.687313,1.2819,3.96E-05,0.012925
Cluster-15354.137010,43.55142812,172.0348489,-1.9819,3.98E-05,0.012956
Cluster-15354.133278,46.4272683,176.1294801,-1.9236,4.00E-05,0.013
Cluster-15354.69502,3046.381358,1356.254099,1.1675,4.06E-05,0.013181
Cluster-15354.140314,53.84474531,4.453017646,3.596,4.08E-05,0.013232
Cluster-15354.118994,265.5030016,82.67588045,1.6832,4.16E-05,0.013451
Cluster-15354.122556,439.0433615,159.560576,1.4603,4.16E-05,0.013451
Cluster-15354.101542,7.855366202,74.84291337,-3.2521,4.17E-05,0.013452
Cluster-36018.0,80.61298123,268.3424985,-1.735,4.17E-05,0.013452
Cluster-15354.117639,2094.118796,434.744075,2.2681,4.19E-05,0.013466
Cluster-15354.19092,7.44369098,64.06050973,-3.1053,4.21E-05,0.013516
Cluster-15354.119906,36.61746268,1.329647287,4.7834,4.24E-05,0.013594
Cluster-15354.84336,416.9761056,1017.118975,-1.2865,4.24E-05,0.013594
Cluster-15354.80009,2735.441082,1101.094891,1.3128,4.28E-05,0.013666
Cluster-50421.1,73.84247623,9.385267977,2.976,4.28E-05,0.013666
Cluster-15354.97600,136.7108145,16.15265273,3.0813,4.29E-05,0.013667
Cluster-15354.80317,557.9929932,211.5859693,1.399,4.32E-05,0.01376
Cluster-15354.143156,36.29806151,1.351132419,4.7477,4.34E-05,0.013801
Cluster-15354.113780,108.9327553,327.2277304,-1.5869,4.37E-05,0.013873
Cluster-15354.80176,508.6360915,188.5967148,1.4313,4.38E-05,0.013884
Cluster-15354.12386,81.17217841,11.7814314,2.7845,4.40E-05,0.013902
Cluster-15354.13919,205.0728372,546.7133061,-1.4146,4.40E-05,0.013902
Cluster-15354.62884,1905.169522,730.1978173,1.3836,4.42E-05,0.013938
Cluster-15354.57322,567.0376973,189.9787861,1.5776,4.44E-05,0.013964
Cluster-15354.67272,550.3805798,212.5894576,1.3724,4.44E-05,0.013964
Cluster-15354.118953,1.910764752,41.16266736,-4.4291,4.47E-05,0.014025
Cluster-15354.25820,283.1599585,90.15874948,1.6511,4.49E-05,0.014086
Cluster-15354.105371,173.9457233,37.22262273,2.2244,4.51E-05,0.014113
Cluster-15354.96407,1111.805345,417.2262059,1.414,4.52E-05,0.014113
Cluster-13954.7,0,49.07952992,#NAME?,4.59E-05,0.014312
Cluster-15354.44896,181.9938324,41.07797704,2.1475,4.62E-05,0.014385
Cluster-50235.3,46.55336757,3.130948809,3.8942,4.65E-05,0.014473
Cluster-15354.77689,463.6555953,171.2667709,1.4368,4.70E-05,0.014589
Cluster-15354.95038,24.03429886,113.285265,-2.2368,4.70E-05,0.014589
Cluster-15354.17641,194.5782711,45.20527577,2.1058,4.72E-05,0.014626
Cluster-15354.64805,277.2703575,698.0727661,-1.3321,4.75E-05,0.014677
Cluster-15354.86482,282.7893383,73.53452737,1.9432,4.81E-05,0.014852
Cluster-15354.76842,279.5389836,87.67593556,1.6728,4.88E-05,0.015044
Cluster-15354.100236,401.5967056,145.9526999,1.4602,4.94E-05,0.015192
Cluster-15354.17639,81.98111265,12.05846923,2.7652,4.94E-05,0.015192
Cluster-15354.126582,32.19312721,138.1508955,-2.1014,4.95E-05,0.015198
Cluster-15354.80932,10612.7747,3802.284045,1.4809,4.98E-05,0.015236
Cluster-15354.90653,0.636921584,26.16051111,-5.3601,4.98E-05,0.015236
