"","x"
"516","Novel03448"
"517","PGSC0003DMG400028315"
"518","PGSC0003DMG400030153"
"519","PGSC0003DMG400005339"
"520","Novel01140"
"521","EPlSTUG00000001749"
"522","PGSC0003DMG402003005"
"523","PGSC0003DMG400018060"
"524","PGSC0003DMG400036004"
"525","PGSC0003DMG400028280"
"526","PGSC0003DMG401007970"
"527","PGSC0003DMG400022294"
"528","PGSC0003DMG400011277"
"529","PGSC0003DMG400011974"
"530","PGSC0003DMG400030548"
"531","PGSC0003DMG400000976"
"532","PGSC0003DMG400021857"
"533","PGSC0003DMG400028271"
"534","PGSC0003DMG400029365"
"535","PGSC0003DMG400021875"
"536","PGSC0003DMG400012536"
"537","Novel02442"
"538","PGSC0003DMG400001513"
"539","PGSC0003DMG400014238"
"540","PGSC0003DMG400013176"
"541","PGSC0003DMG400019307"
"542","PGSC0003DMG400021902"
"543","Novel01234"
"544","PGSC0003DMG400023569"
"545","PGSC0003DMG400004483"
"546","Novel01854"
"547","PGSC0003DMG400016280"
"548","PGSC0003DMG400025028"
"549","Novel01041"
"550","Novel00168"
"551","Novel00271"
"552","PGSC0003DMG400008262"
"553","PGSC0003DMG400022894"
"554","PGSC0003DMG400026859"
"555","PGSC0003DMG400020248"
"556","PGSC0003DMG401017590"
"557","PGSC0003DMG400029570"
"558","PGSC0003DMG400003563"
"559","PGSC0003DMG402021193"
"560","PGSC0003DMG400005046"
"561","PGSC0003DMG400005960"
"562","PGSC0003DMG400016551"
"563","PGSC0003DMG400020550"
"564","PGSC0003DMG401012010"
"565","PGSC0003DMG400013457"
"566","PGSC0003DMG400028726"
"567","PGSC0003DMG400019508"
"568","Novel03333"
"569","PGSC0003DMG401017675"
"570","Novel03395"
"571","Novel00924"
"572","PGSC0003DMG400018461"
"573","PGSC0003DMG400031369"
"574","PGSC0003DMG402015686"
"575","PGSC0003DMG403016183"
"576","Novel00322"
"577","PGSC0003DMG400009181"
"578","PGSC0003DMG400023272"
"579","PGSC0003DMG400007599"
"580","PGSC0003DMG401029918"
"581","PGSC0003DMG400020566"
"582","PGSC0003DMG400024490"
"583","PGSC0003DMG400033687"
"584","PGSC0003DMG400001550"
"585","PGSC0003DMG400030334"
"586","PGSC0003DMG400027010"
"587","PGSC0003DMG400027819"
"588","PGSC0003DMG401026002"
"589","PGSC0003DMG400010119"
"590","PGSC0003DMG400033090"
"591","Novel02782"
"592","Novel00358"
"593","PGSC0003DMG400016721"
"594","PGSC0003DMG400005899"
"595","PGSC0003DMG400002388"
"596","PGSC0003DMG402012883"
"597","PGSC0003DMG400027889"
"598","PGSC0003DMG400020711"
"599","PGSC0003DMG400026220"
"600","PGSC0003DMG401007955"
"601","PGSC0003DMG400017287"
"602","PGSC0003DMG400000491"
"603","PGSC0003DMG401015682"
"604","PGSC0003DMG402000895"
"605","PGSC0003DMG400022512"
"606","PGSC0003DMG400016477"
"607","PGSC0003DMG400000075"
"608","Novel00195"
"609","PGSC0003DMG400016453"
"610","Novel00113"
"611","PGSC0003DMG401007575"
"612","PGSC0003DMG400004036"
"613","PGSC0003DMG401023841"
"614","PGSC0003DMG400019279"
"615","PGSC0003DMG400035643"
"616","Novel00775"
"617","PGSC0003DMG400028222"
"618","PGSC0003DMG400017550"
"619","PGSC0003DMG400017230"
"620","PGSC0003DMG400023352"
"621","PGSC0003DMG400004593"
"622","PGSC0003DMG400018686"
"623","PGSC0003DMG400016003"
"624","PGSC0003DMG400006523"
"625","PGSC0003DMG400005620"
"626","PGSC0003DMG401009929"
"627","PGSC0003DMG401021462"
"628","PGSC0003DMG400029105"
"629","PGSC0003DMG400018789"
"630","PGSC0003DMG400014403"
"631","PGSC0003DMG401031070"
"632","PGSC0003DMG400015263"
"633","PGSC0003DMG400003867"
"634","PGSC0003DMG400024631"
"635","PGSC0003DMG400030374"
"636","PGSC0003DMG400015992"
"637","Novel03362"
"638","PGSC0003DMG400003296"
"639","PGSC0003DMG400024784"
"640","PGSC0003DMG400026077"
"641","Novel02263"
"642","PGSC0003DMG400026311"
"643","Novel02065"
"644","Novel01207"
"645","PGSC0003DMG401004392"
"646","PGSC0003DMG401002858"
"647","PGSC0003DMG400024018"
"648","PGSC0003DMG400028891"
"649","PGSC0003DMG400021785"
"650","Novel03422"
"651","PGSC0003DMG400007119"
"652","PGSC0003DMG400013096"
"653","Novel02603"
"654","PGSC0003DMG400001617"
"655","PGSC0003DMG401022603"
