Cluster-15354.60809,GO:0006468
Cluster-15354.60902,GO:0055114
Cluster-15354.60928,GO:0006886
Cluster-15354.60982,GO:0030244
Cluster-15354.61020,GO:0055114
Cluster-15354.61032,GO:0055114
Cluster-15354.61145,GO:0009231
Cluster-15354.61148,GO:0006351
Cluster-15354.61278,GO:0009058
Cluster-15354.61464,GO:0030001
Cluster-15354.61576,GO:0051726
Cluster-15354.61580,GO:0050832
Cluster-15354.61992,GO:0055114
Cluster-15354.62009,GO:0008615
Cluster-15354.62200,GO:0055114
Cluster-15354.62443,GO:0016567
Cluster-15354.62464,GO:0006749
Cluster-15354.62515,GO:0005985
Cluster-15354.62603,GO:2001256
Cluster-15354.62799,GO:0055114
Cluster-15354.62857,GO:0006457
Cluster-15354.62862,GO:0006457
Cluster-15354.62937,GO:0015994
Cluster-15354.6318,GO:0006486
Cluster-15354.63564,GO:0006090
Cluster-15354.63581,GO:0007049
Cluster-15354.63881,GO:0006629
Cluster-15354.6410,GO:0008152
Cluster-15354.64373,GO:0006412
Cluster-15354.64374,GO:0006412
Cluster-15354.64381,GO:0006302
Cluster-15354.64541,GO:0055114
Cluster-15354.64626,GO:0015976
Cluster-15354.64627,GO:0015976
Cluster-15354.64834,GO:0006468
Cluster-15354.64963,GO:0006606
Cluster-15354.65117,GO:0006412
Cluster-15354.65300,GO:0030001
Cluster-15354.65618,GO:0016567
Cluster-15354.65741,GO:0006629
Cluster-15354.65790,GO:0045454
Cluster-15354.65967,GO:0055114
Cluster-15354.66146,GO:0006355
Cluster-15354.66312,GO:0006807
Cluster-15354.66454,GO:0071705
Cluster-15354.66565,GO:0006886
Cluster-15354.67001,GO:0055114
Cluster-15354.67208,GO:0008152
Cluster-15354.67361,GO:0006508
Cluster-15354.67457,GO:0044238
Cluster-15354.67552,GO:0018279
Cluster-15354.67590,GO:0015840
Cluster-15354.67594,GO:0008053
Cluster-15354.67798,GO:0043087
Cluster-15354.67896,GO:0006355
Cluster-15354.67954,GO:0006468
Cluster-15354.68052,GO:0006468
Cluster-15354.68250,GO:0055114
Cluster-15354.68301,GO:0048193
Cluster-15354.68515,GO:0006950
Cluster-15354.68698,GO:0006412
Cluster-15354.68700,GO:0006412
Cluster-15354.68702,GO:0042254
Cluster-15354.68914,GO:0046854
Cluster-15354.69128,GO:0015701
Cluster-15354.69183,GO:0006364
Cluster-15354.69206,GO:0019058
Cluster-15354.69209,GO:0015743
Cluster-15354.69263,GO:0042254
Cluster-15354.6928,GO:0055114
Cluster-15354.69292,GO:0015995
Cluster-15354.69328,GO:0006073
Cluster-15354.69352,GO:0006446
Cluster-15354.69502,GO:0006629
Cluster-15354.69513,GO:0006414
Cluster-15354.69514,GO:0030683
Cluster-15354.69551,GO:0015031
Cluster-15354.69607,GO:0006821
Cluster-15354.69705,GO:0006886
Cluster-15354.69822,GO:0006468
Cluster-15354.69922,GO:0055114
Cluster-15354.69937,GO:0006397
Cluster-15354.70007,GO:0006098
Cluster-15354.70310,GO:0008152
Cluster-15354.70324,GO:0008152
Cluster-15354.70591,GO:0015986
Cluster-15354.70626,GO:0006468
Cluster-15354.70808,GO:0006308
Cluster-15354.71113,GO:0046034
Cluster-15354.71216,GO:0008152
Cluster-15354.71528,GO:0006118
Cluster-15354.71591,GO:0008152
Cluster-15354.71593,GO:0006355
Cluster-15354.71608,GO:0008152
Cluster-15354.71609,GO:0008152
Cluster-15354.7165,GO:0055114
Cluster-15354.72020,GO:0015994
Cluster-15354.72231,GO:0006952
Cluster-15354.72256,GO:0000272
Cluster-15354.72287,GO:0045454
Cluster-15354.72361,GO:0055114
Cluster-15354.72428,GO:0009231
Cluster-15354.72537,GO:0006694
Cluster-15354.72546,GO:0016567
Cluster-15354.7263,GO:0033617
Cluster-15354.72758,GO:0046413
Cluster-15354.72976,GO:0006144
Cluster-15354.72986,GO:0031175
Cluster-15354.73133,GO:0006468
Cluster-15354.73205,GO:0006367
Cluster-15354.73273,GO:0016032
